,how_many,title,author,media_type,category_name
0,78,Night school,"Child, Lee",Hardback,Adult Fiction
4,58,This was a man,"Archer, Jeffrey",Hardback,Adult Fiction
5,56,Girl on the train,"Hawkins, Paula",Hardback,Adult Fiction
6,56,Make me,"Child, Lee",Hardback,Adult Fiction
7,49,Personal,"Child, Lee",Hardback,Adult Fiction
8,47,Gone girl,"Flynn, Gillian",Paperback,Adult Fiction
9,45,Rather be the devil,"Rankin, Ian",Hardback,Adult Fiction
10,45,Summer on the river,"Willett, Marcia",Hardback,Adult Fiction
11,44,Song of the skylark,"James, Erica",Hardback,Adult Fiction
12,43,Whistler,"Grisham, John",Hardback,Adult Fiction
